id,Chlorophyll,Temp
800,0.330312699,22.5375004
801,1.15975893,-9999
802,0.919830322,23.1625004
803,0.891755521,23.6000004
804,-32767,23.6625004
805,1.80234671,23.2250004
806,1.48818731,-9999
807,-32767,24.9750004
808,0.367952853,-9999
809,1.40916324,24.0375004
810,-32767,24.8500004
811,-32767,22.9125004
812,1.33624434,24.1000004
813,0.153104812,24.2250004
814,-32767,24.0375004
815,-32767,-9999
816,0.698938608,23.9125004
817,-32767,-9999
818,6.74198961,24.1000004
819,0.977199793,24.6625004
820,1.87061822,24.4125004
821,-32767,-9999
822,-32767,-9999
823,1.97502053,24.2250004
824,2.5335176,-9999
825,2.45714021,24.4125004
826,0.388267577,24.7875004
827,-32767,24.6625004
828,-32767,24.1625004
829,-32767,23.4750004
830,-32767,24.4125004
831,6.9131546,-9999
832,-32767,24.4750004
833,2.92464232,-9999
834,1.86186588,24.2250004
835,2.6871767,24.2250004
836,2.73173571,23.8500004
837,1.28582752,24.6000004
838,-32767,-9999
839,2.24519682,24.2250004
840,1.38993001,-9999
841,2.13751054,24.9125004
842,1.491714,25.9750004
843,1.22398901,24.3500004
844,1.60167968,26.1625004
845,1.85571015,25.4125004
846,1.67159927,25.9750004
847,1.1733017,-9999
848,1.15705466,25.8500004
849,1.06697202,-9999
850,-32767,25.7875004
851,0.893857121,24.6625004
852,1.057374,24.6000004
853,-32767,24.4125004
854,1.36516321,-9999
855,1.1798166,25.3500004
856,1.53531587,-9999
857,-32767,26.2250004
858,0.890979826,26.6625004
859,0.567487001,25.7250004
860,1.80861926,26.2250004
861,-32767,25.9125004
862,0.659333944,25.7875004
863,1.31557727,-9999
864,3.81817341,25.8500004
865,-32767,-9999
866,1.23908842,25.4750004
867,0.202255681,25.6625004
868,1.73788118,24.7250004
869,-32767,25.8500004
870,0.222873628,-9999
871,-32767,26.4750004
872,4.13572359,-9999
873,3.97876406,24.2875004
874,3.29355717,26.1625004
875,-32767,25.3500004
876,1.50097048,27.0375004
877,-32767,27.1000004
878,2.8195591,26.3500004
879,2.0059855,-9999
880,-32767,27.3500004
881,2.63723803,-9999
882,2.13237333,26.7250004
883,1.96300483,27.7875004
884,0.902130306,26.6625004
885,1.96695316,27.7250004
886,0.738046348,-9999
887,0.545496941,26.9125004
888,0.552766979,-9999
889,1.31440544,26.9125004
890,0.474383265,28.7250004
891,0.809705079,27.6000004
892,1.25166285,27.2875004
893,1.81435537,27.2250004
894,1.24344134,26.8500004
895,1.15617919,-9999
896,1.25183368,26.6000004
897,1.02950203,-9999
898,1.28588986,26.9750004
899,0.206481323,27.1000004
900,1.66127157,26.3500004
901,-32767,27.1625004
902,0.263578355,-9999
903,1.40598905,27.8500004
904,1.43934405,-9999
905,1.744452,27.6000004
906,2.7306819,27.6625004
907,1.91527843,27.1000004
908,1.51387954,28.0375004
909,1.2369504,26.2875004
910,1.5417949,27.1625004
911,1.50872529,-9999
912,0.262878656,27.9750004
913,1.50395024,-9999
914,0.590643227,27.7875004
915,1.49714959,27.8500004
916,1.51007962,26.4750004
917,1.62492609,27.2250004
918,1.58255088,-9999
919,1.40577328,28.8500004
920,1.18567824,-9999
921,0.936050236,27.7875004
922,1.48761439,28.0375004
923,0.740468383,27.7250004
924,2.54727149,26.4125004
925,0.887468517,27.7875004
926,3.06583142,27.6625004
927,6.43352509,-9999
928,3.31898904,29.0375004
929,2.60096526,-9999
930,2.17898655,28.9125004
931,1.48178101,30.1000004
932,1.78842163,29.1625004
933,1.31921065,29.7250004
934,1.09354007,-9999
935,1.14251447,28.9750004
936,0.589341879,-9999
937,0.658233881,29.2250004
938,2.82002425,29.9750004
939,1.41340423,28.7250004
940,1.72555351,29.1000004
941,2.43518281,26.9750004
942,1.61417234,28.5375004
943,1.50304699,-9999
944,1.25422919,29.0375004
945,1.49588096,-9999
946,1.12480986,28.9125004
947,1.19494271,-9999
948,1.26244152,27.4125004
949,1.8333329,27.8500004
950,2.49123526,-9999
951,2.73687625,28.1000004
952,3.27045059,-9999
953,1.91019773,30.0375004
954,2.24313164,28.4125004
955,1.75710106,29.8500004
956,1.47715533,29.3500004
957,1.41743267,27.9750004
958,1.20856285,29.7250004
959,0.672564507,-9999
960,1.25834119,29.2875004
961,0.974891722,-9999
962,3.19485188,-9999
963,2.14240432,28.9125004
964,1.97193718,26.7875004
965,1.49595404,-9999
966,1.64449334,-9999
967,1.44460833,29.3500004
